source_ip,target_ip,weight
79.244.204.112,82.202.106.62,4.5070877896e-06
131.180.154.92,82.202.106.62,4.2715778183e-06
81.234.170.132,82.202.106.62,1.07666401836e-05
132.111.224.167,82.202.106.62,1.16958058385e-05
52.35.123.120,82.202.106.62,1.72106680059e-05
31.224.97.129,82.202.106.62,1.56677863874e-05
124.16.181.229,82.202.106.62,4.1883724347e-06
246.14.57.42,82.202.106.62,5.5486534046e-06
119.28.244.75,82.202.106.62,9.784866449e-06
23.155.14.218,82.202.106.62,8.0529983461e-06
97.78.70.17,82.202.106.62,1.61840483027e-05
71.50.188.66,82.202.106.62,1.83827415573e-05
208.64.203.132,82.202.106.62,1.94895353626e-05
74.226.124.121,82.202.106.62,1.74108421941e-05
148.170.27.97,82.202.106.62,1.77095835757e-05
175.112.91.200,82.202.106.62,1.45879071928e-05
15.42.17.122,82.202.106.62,5.897014387e-06
197.10.128.130,82.202.106.62,8.8302808855e-06
99.154.33.52,82.202.106.62,1.76473211114e-05
174.180.184.41,82.202.106.62,9.3220248147e-06
106.243.131.241,82.202.106.62,1.28444416334e-05
75.184.50.45,82.202.106.62,3.7380369594e-06
145.27.170.115,82.202.106.62,7.7218671364e-06
122.63.218.42,82.202.106.62,8.5875407358e-06
215.77.50.248,82.202.106.62,4.0352162946e-06
144.110.197.66,82.202.106.62,1.11257017653e-05
248.142.24.28,82.202.106.62,1.69522599781e-05
95.153.133.113,82.202.106.62,1.97429086498e-05
116.189.188.203,82.202.106.62,1.56786210321e-05
77.172.254.15,82.202.106.62,1.82393308888e-05
187.250.182.8,82.202.106.62,8.7539561245e-06
235.92.48.79,82.202.106.62,1.19153658234e-05
33.109.70.69,82.202.106.62,1.1258782409e-05
12.99.78.71,82.202.106.62,5.7273532203e-06
78.136.154.80,82.202.106.62,1.19288441365e-05
130.89.82.228,82.202.106.62,1.41471725502e-05
238.36.13.89,82.202.106.62,2.33690676e-06
112.105.93.54,82.202.106.62,6.9774729685e-06
1.221.242.237,82.202.106.62,1.77591830376e-05
151.27.30.177,82.202.106.62,1.49883477117e-05
79.244.204.112,250.125.218.174,9.3585954788e-06
131.180.154.92,250.125.218.174,1.18293108978e-05
81.234.170.132,250.125.218.174,1.02574043518e-05
132.111.224.167,250.125.218.174,4.7344490943e-06
52.35.123.120,250.125.218.174,1.69853727226e-05
31.224.97.129,250.125.218.174,9.5375448777e-06
124.16.181.229,250.125.218.174,1.62652696391e-05
246.14.57.42,250.125.218.174,1.443673882e-06
119.28.244.75,250.125.218.174,1.92483674326e-05
