source_ip,target_ip,weight
124.16.181.229,82.202.106.62,4.1883724347e-06
246.14.57.42,82.202.106.62,5.5486534046e-06
23.155.14.218,82.202.106.62,8.0529983461e-06
71.50.188.66,82.202.106.62,1.83827415573e-05
15.42.17.122,82.202.106.62,5.897014387e-06
174.180.184.41,82.202.106.62,9.3220248147e-06
248.142.24.28,82.202.106.62,1.69522599781e-05
116.189.188.203,82.202.106.62,1.56786210321e-05
235.92.48.79,82.202.106.62,1.19153658234e-05
12.99.78.71,82.202.106.62,5.7273532203e-06
124.16.181.229,250.125.218.174,1.62652696391e-05
246.14.57.42,250.125.218.174,1.443673882e-06
23.155.14.218,250.125.218.174,1.54164144148e-05
71.50.188.66,250.125.218.174,1.30765926263e-05
15.42.17.122,250.125.218.174,1.00646640081e-05
174.180.184.41,250.125.218.174,1.44415838256e-05
248.142.24.28,250.125.218.174,1.50127656409e-05
116.189.188.203,250.125.218.174,7.1433842189e-06
235.92.48.79,250.125.218.174,1.37645155236e-05
12.99.78.71,250.125.218.174,1.98244332166e-05
124.16.181.229,176.69.30.9,1.22298959871e-05
246.14.57.42,176.69.30.9,1.31072875029e-05
23.155.14.218,176.69.30.9,5.1093124509e-06
71.50.188.66,176.69.30.9,9.2248844847e-06
15.42.17.122,176.69.30.9,7.2368529032e-06
174.180.184.41,176.69.30.9,1.10413577872e-05
248.142.24.28,176.69.30.9,1.18722491543e-05
116.189.188.203,176.69.30.9,9.0498317166e-06
235.92.48.79,176.69.30.9,8.9757715655e-06
12.99.78.71,176.69.30.9,1.27761274136e-05
124.16.181.229,250.137.154.10,1.22668614653e-05
246.14.57.42,250.137.154.10,1.05164179197e-05
23.155.14.218,250.137.154.10,1.52952147288e-05
71.50.188.66,250.137.154.10,1.43560285769e-05
15.42.17.122,250.137.154.10,8.7877270841e-06
174.180.184.41,250.137.154.10,5.9462574904e-06
248.142.24.28,250.137.154.10,6.4103926926e-06
116.189.188.203,250.137.154.10,1.90934911204e-05
235.92.48.79,250.137.154.10,9.9327084327e-06
12.99.78.71,250.137.154.10,1.00224651922e-05
124.16.181.229,19.45.187.167,1.73219694218e-05
246.14.57.42,19.45.187.167,7.0911186236e-06
23.155.14.218,19.45.187.167,4.8044855199e-06
71.50.188.66,19.45.187.167,1.7478771809e-05
15.42.17.122,19.45.187.167,2.4442457439e-06
174.180.184.41,19.45.187.167,1.4594530229e-05
248.142.24.28,19.45.187.167,5.4643323192e-06
116.189.188.203,19.45.187.167,9.0766448375e-06
235.92.48.79,19.45.187.167,1.62392897802e-05
12.99.78.71,19.45.187.167,5.6300571043e-06
124.16.181.229,143.46.59.239,7.7540466629e-06
246.14.57.42,143.46.59.239,4.1342274643e-06
23.155.14.218,143.46.59.239,1.75735519993e-05
71.50.188.66,143.46.59.239,1.92488238637e-05
15.42.17.122,143.46.59.239,1.3080022663e-05
174.180.184.41,143.46.59.239,1.5673098214e-05
248.142.24.28,143.46.59.239,1.43505372475e-05
116.189.188.203,143.46.59.239,7.6546836616e-06
235.92.48.79,143.46.59.239,7.0468740462e-06
12.99.78.71,143.46.59.239,1.54685503264e-05
124.16.181.229,241.19.174.245,6.1895610095e-06
246.14.57.42,241.19.174.245,1.07318923324e-05
23.155.14.218,241.19.174.245,7.3105677496e-06
71.50.188.66,241.19.174.245,5.2158899735e-06
15.42.17.122,241.19.174.245,1.07031252428e-05
174.180.184.41,241.19.174.245,6.38502478e-06
248.142.24.28,241.19.174.245,1.50112117756e-05
116.189.188.203,241.19.174.245,3.1387431348e-06
235.92.48.79,241.19.174.245,1.97732059975e-05
12.99.78.71,241.19.174.245,5.2595921642e-06
124.16.181.229,247.105.67.162,1.24251237161e-05
246.14.57.42,247.105.67.162,5.2162922848e-06
23.155.14.218,247.105.67.162,7.5267072019e-06
71.50.188.66,247.105.67.162,1.71080852503e-05
15.42.17.122,247.105.67.162,8.1386792827e-06
174.180.184.41,247.105.67.162,7.8429833429e-06
248.142.24.28,247.105.67.162,4.4174142452e-06
116.189.188.203,247.105.67.162,1.62345179781e-05
235.92.48.79,247.105.67.162,1.78944344893e-05
12.99.78.71,247.105.67.162,7.624066631e-06
124.16.181.229,15.254.48.24,1.34200054229e-05
246.14.57.42,15.254.48.24,7.6939721761e-06
23.155.14.218,15.254.48.24,2.4448308223e-06
71.50.188.66,15.254.48.24,1.99995843682e-05
