source,target,weight,Type
贾宝玉,王夫人,2,undirected
贾宝玉,贾琏,1,undirected
贾宝玉,贾政,1,undirected
贾宝玉,薛姨妈,1,undirected
贾宝玉,紫鹃,1,undirected
贾宝玉,贾环,2,undirected
贾宝玉,贾兰,3,undirected
贾宝玉,王爷,1,undirected
贾宝玉,北静王,2,undirected
贾宝玉,赖大,1,undirected
贾宝玉,荣国府,1,undirected
贾宝玉,金陵,1,undirected
贾宝玉,贾妃,1,undirected
贾宝玉,甄宝玉,3,undirected
贾宝玉,谢恩,1,undirected
贾母,林黛玉,43,undirected
贾母,王夫人,248,undirected
贾母,薛宝钗,10,undirected
贾母,贾琏,74,undirected
贾母,贾政,103,undirected
贾母,薛姨妈,111,undirected
贾母,贾珍,55,undirected
贾母,邢夫人,79,undirected
贾母,紫鹃,34,undirected
贾母,尤氏,56,undirected
贾母,薛蟠,16,undirected
贾母,贾芸,8,undirected
贾母,周瑞家,10,undirected
贾母,贾迎春,1,undirected
贾母,贾蓉,33,undirected
贾母,林之孝,10,undirected
贾母,赵姨娘,9,undirected
贾母,和尚,8,undirected
贾母,贾环,20,undirected
贾母,老婆子,29,undirected
贾母,尤二姐,10,undirected
贾母,薛宝琴,3,undirected
贾母,小姐,15,undirected
贾母,秦钟,11,undirected
贾母,贾惜春,1,undirected
贾母,史湘云,31,undirected
贾母,妙玉,6,undirected
贾母,秋纹,17,undirected
贾母,雪雁,14,undirected
贾母,大老爷,18,undirected
贾母,冯紫英,1,undirected
贾母,那丫头,9,undirected
贾母,贾兰,15,undirected
贾母,秦氏,7,undirected
贾母,司棋,6,undirected
贾母,巧姐儿,8,undirected
贾母,那婆子,5,undirected
贾母,老嬷嬷,15,undirected
贾母,从小儿,19,undirected
贾母,王爷,7,undirected
贾母,邢王二,24,undirected
贾母,北静王,11,undirected
贾母,旺儿,5,undirected
贾母,贾府,15,undirected
贾母,赖大,12,undirected
贾母,玉钏儿,6,undirected
贾母,何曾,13,undirected
贾母,巧姐,10,undirected
贾母,金钏儿,7,undirected
贾母,荣国府,6,undirected
贾母,金陵,5,undirected
贾母,丰儿,8,undirected
贾母,祖宗,50,undirected
贾母,李嬷嬷,4,undirected
贾母,贾瑞,2,undirected
贾母,尤三姐,2,undirected
贾母,贾妃,6,undirected
贾母,包勇,2,undirected
贾母,甄宝玉,1,undirected
贾母,梅花,11,undirected
贾母,贾芹,5,undirected
贾母,贾家,6,undirected
贾母,贾蔷,4,undirected
贾母,李贵,6,undirected
贾母,蒋玉菡,2,undirected
贾母,安静,7,undirected
贾母,周瑞,15,undirected
贾母,张罗,3,undirected
贾母,孙子,17,undirected
贾母,薛家,5,undirected
贾母,桂花,5,undirected
贾母,小红,4,undirected
贾母,红玉,1,undirected
贾母,王善保,2,undirected
贾母,秋桐,2,undirected
贾母,李十儿,1,undirected
贾母,张华,2,undirected
贾母,王子腾,13,undirected
贾母,马道婆,1,undirected
贾母,贾雨村,4,undirected
贾母,水月庵,2,undirected
贾母,王仁,3,undirected
贾母,张道士,6,undirected
贾母,鲍二,5,undirected
贾母,王太医,4,undirected
贾母,李氏,9,undirected
贾母,齐全,9,undirected
贾母,柳湘莲,3,undirected
贾母,雪雁道,1,undirected
贾母,谢恩,9,undirected
贾母,邢岫烟,9,undirected
贾母,道谢,8,undirected
贾母,相公,7,undirected
林黛玉,王夫人,33,undirected
林黛玉,薛宝钗,12,undirected
林黛玉,贾琏,2,undirected
林黛玉,贾政,10,undirected
林黛玉,薛姨妈,21,undirected
林黛玉,贾珍,7,undirected
林黛玉,邢夫人,3,undirected
林黛玉,紫鹃,23,undirected
林黛玉,尤氏,6,undirected
林黛玉,薛蟠,3,undirected
林黛玉,贾芸,2,undirected
林黛玉,周瑞家,2,undirected
林黛玉,贾迎春,2,undirected
林黛玉,贾蓉,3,undirected
林黛玉,林之孝,1,undirected
林黛玉,赵姨娘,4,undirected
林黛玉,和尚,4,undirected
林黛玉,贾环,2,undirected
林黛玉,老婆子,1,undirected
林黛玉,小姐,3,undirected
林黛玉,秦钟,2,undirected
林黛玉,贾惜春,1,undirected
林黛玉,史湘云,17,undirected
林黛玉,秋纹,1,undirected
林黛玉,雪雁,6,undirected
林黛玉,大老爷,1,undirected
林黛玉,冯紫英,1,undirected
林黛玉,那丫头,1,undirected
林黛玉,贾兰,1,undirected
林黛玉,秦氏,1,undirected
林黛玉,司棋,1,undirected
林黛玉,巧姐儿,1,undirected
林黛玉,那婆子,1,undirected
林黛玉,老嬷嬷,6,undirected
林黛玉,从小儿,3,undirected
林黛玉,邢王二,1,undirected
林黛玉,贾府,5,undirected
林黛玉,玉钏儿,2,undirected
林黛玉,何曾,5,undirected
林黛玉,巧姐,2,undirected
林黛玉,金钏儿,4,undirected
林黛玉,荣国府,4,undirected
林黛玉,丰儿,2,undirected
林黛玉,祖宗,7,undirected
林黛玉,李嬷嬷,2,undirected
林黛玉,贾妃,3,undirected
林黛玉,梅花,2,undirected
林黛玉,贾芹,1,undirected
林黛玉,贾蔷,1,undirected
林黛玉,蒋玉菡,1,undirected
林黛玉,安静,2,undirected
林黛玉,周瑞,3,undirected
林黛玉,张罗,1,undirected
林黛玉,薛家,1,undirected
林黛玉,桂花,1,undirected
林黛玉,小红,2,undirected
林黛玉,红玉,2,undirected
林黛玉,王子腾,4,undirected
林黛玉,马道婆,1,undirected
林黛玉,贾雨村,2,undirected
林黛玉,张道士,2,undirected
林黛玉,李氏,2,undirected
林黛玉,齐全,2,undirected
林黛玉,邢岫烟,2,undirected
林黛玉,道谢,1,undirected
林黛玉,相公,1,undirected
王夫人,薛宝钗,7,undirected
王夫人,贾琏,69,undirected
王夫人,贾政,104,undirected
王夫人,薛姨妈,97,undirected
王夫人,贾珍,41,undirected
王夫人,邢夫人,97,undirected
王夫人,紫鹃,27,undirected
王夫人,尤氏,56,undirected
王夫人,薛蟠,17,undirected
王夫人,贾芸,11,undirected
王夫人,周瑞家,21,undirected
王夫人,贾迎春,1,undirected
王夫人,贾蓉,28,undirected
王夫人,林之孝,10,undirected
王夫人,赵姨娘,24,undirected
王夫人,和尚,22,undirected
王夫人,贾环,36,undirected
王夫人,老婆子,28,undirected
王夫人,尤二姐,6,undirected
王夫人,薛宝琴,2,undirected
王夫人,小姐,13,undirected
王夫人,秦钟,7,undirected
王夫人,贾惜春,1,undirected
王夫人,史湘云,14,undirected
王夫人,妙玉,6,undirected
